student_id,grade,ses_level,homework_category,homework_minutes,math_score,reading_score,grade_label,homework_label
83,2,1,5,150,46.4,46.9,2nd Grade,More than 2 hours
84,0,2,2,15,47.4,29.4,Kindergarten,Less than 30 min
85,1,3,2,15,57.5,46.1,1st Grade,Less than 30 min
86,1,2,3,45,60.4,30.9,1st Grade,30-60 minutes
87,4,2,3,45,62.3,62.5,4th Grade,30-60 minutes
88,3,2,3,45,49.6,65.5,3rd Grade,30-60 minutes
89,5,1,4,90,57.8,43.8,5th Grade,1-2 hours
90,2,3,1,0,74.5,49.8,2nd Grade,No homework
91,0,2,1,0,42.0,39.6,Kindergarten,No homework
92,4,3,1,0,81.5,69.0,4th Grade,No homework
93,4,2,2,15,57.7,68.1,4th Grade,Less than 30 min
94,3,2,1,0,58.8,,3rd Grade,No homework
95,4,1,3,45,62.8,54.3,4th Grade,30-60 minutes
96,2,2,1,0,57.4,50.5,2nd Grade,No homework
97,3,1,4,90,64.2,58.6,3rd Grade,1-2 hours
98,2,2,3,45,35.3,80.8,2nd Grade,30-60 minutes
99,0,2,1,0,43.3,45.0,Kindergarten,No homework
100,0,3,1,0,,45.0,Kindergarten,No homework
101,0,2,1,0,41.3,30.2,Kindergarten,No homework
102,3,2,3,45,46.2,72.5,3rd Grade,30-60 minutes
103,1,1,2,15,42.2,,1st Grade,Less than 30 min
104,3,2,4,90,55.6,53.5,3rd Grade,1-2 hours
105,5,1,2,15,51.2,64.1,5th Grade,Less than 30 min
106,1,2,3,45,30.4,62.8,1st Grade,30-60 minutes
107,2,3,3,45,69.8,56.0,2nd Grade,30-60 minutes
108,4,2,3,45,50.3,72.7,4th Grade,30-60 minutes
109,1,1,1,0,28.4,20.0,1st Grade,No homework
110,0,2,1,0,26.8,54.3,Kindergarten,No homework
111,1,3,2,15,37.4,60.7,1st Grade,Less than 30 min
112,1,2,2,15,24.7,55.2,1st Grade,Less than 30 min
113,5,1,3,45,54.4,,5th Grade,30-60 minutes
114,4,3,2,15,75.1,67.2,4th Grade,Less than 30 min
115,3,3,2,15,68.1,59.2,3rd Grade,Less than 30 min
116,5,1,2,15,36.5,59.8,5th Grade,Less than 30 min
117,4,3,2,15,75.6,60.3,4th Grade,Less than 30 min
118,1,2,1,0,46.6,60.4,1st Grade,No homework
119,5,2,3,45,60.9,69.1,5th Grade,30-60 minutes
120,3,2,2,15,52.4,64.3,3rd Grade,Less than 30 min
121,4,3,4,90,71.7,74.8,4th Grade,1-2 hours
122,5,2,4,90,85.0,63.9,5th Grade,1-2 hours
123,1,1,2,15,46.8,40.9,1st Grade,Less than 30 min
124,0,3,1,0,41.7,43.7,Kindergarten,No homework
125,1,1,3,45,20.6,36.3,1st Grade,30-60 minutes
126,2,2,3,45,51.7,69.5,2nd Grade,30-60 minutes
127,4,2,2,15,62.8,69.4,4th Grade,Less than 30 min
128,5,1,4,90,,64.9,5th Grade,1-2 hours
129,0,1,1,0,22.6,36.4,Kindergarten,No homework
130,3,3,3,45,68.1,60.7,3rd Grade,30-60 minutes
131,2,2,5,150,38.0,54.2,2nd Grade,More than 2 hours
132,1,2,2,15,54.3,38.7,1st Grade,Less than 30 min
133,0,2,3,45,43.1,49.2,Kindergarten,30-60 minutes
134,2,2,2,15,33.3,39.5,2nd Grade,Less than 30 min
135,5,2,3,45,55.3,46.0,5th Grade,30-60 minutes
136,1,2,2,15,57.1,42.5,1st Grade,Less than 30 min
137,3,2,4,90,66.9,70.5,3rd Grade,1-2 hours
138,4,3,1,0,68.9,59.3,4th Grade,No homework
139,2,2,3,45,33.0,59.5,2nd Grade,30-60 minutes
140,5,1,4,90,60.4,64.0,5th Grade,1-2 hours
141,5,3,3,45,71.4,85.0,5th Grade,30-60 minutes
142,1,3,1,0,58.2,63.0,1st Grade,No homework
143,2,1,2,15,34.6,51.0,2nd Grade,Less than 30 min
144,1,3,2,15,49.2,51.9,1st Grade,Less than 30 min
145,1,2,3,45,74.0,37.2,1st Grade,30-60 minutes
146,0,1,1,0,53.7,47.8,Kindergarten,No homework
147,3,1,3,45,30.5,50.6,3rd Grade,30-60 minutes
148,3,2,2,15,63.2,61.6,3rd Grade,Less than 30 min
149,0,3,1,0,42.1,58.3,Kindergarten,No homework
150,1,1,2,15,43.3,34.1,1st Grade,Less than 30 min
151,5,2,4,90,80.6,55.8,5th Grade,1-2 hours
152,1,2,5,150,59.7,39.0,1st Grade,More than 2 hours
153,0,2,2,15,31.4,48.9,Kindergarten,Less than 30 min
154,2,1,1,0,,40.8,2nd Grade,No homework
155,5,1,4,90,43.5,77.1,5th Grade,1-2 hours
156,1,2,1,0,47.8,58.5,1st Grade,No homework
157,4,3,2,15,50.0,71.2,4th Grade,Less than 30 min
158,4,2,2,15,55.9,58.7,4th Grade,Less than 30 min
159,1,2,2,15,57.6,61.2,1st Grade,Less than 30 min
160,4,2,3,45,52.1,78.8,4th Grade,30-60 minutes
161,2,2,2,15,27.8,51.4,2nd Grade,Less than 30 min
162,3,3,4,90,54.0,63.1,3rd Grade,1-2 hours
163,3,3,2,15,52.4,83.6,3rd Grade,Less than 30 min
164,3,1,2,15,36.9,39.6,3rd Grade,Less than 30 min
165,0,2,1,0,46.5,48.7,Kindergarten,No homework
166,5,2,3,45,53.9,68.2,5th Grade,30-60 minutes
167,1,2,5,150,47.3,60.6,1st Grade,More than 2 hours
168,1,2,2,15,47.9,55.9,1st Grade,Less than 30 min
169,0,3,3,45,47.8,43.1,Kindergarten,30-60 minutes
170,3,3,2,15,71.3,65.9,3rd Grade,Less than 30 min
171,4,2,2,15,55.7,67.6,4th Grade,Less than 30 min
172,0,3,1,0,33.4,57.1,Kindergarten,No homework
173,3,3,4,90,56.7,52.3,3rd Grade,1-2 hours
174,1,3,1,0,51.2,52.2,1st Grade,No homework
175,3,3,5,150,62.1,66.0,3rd Grade,More than 2 hours
176,1,2,2,15,44.0,46.8,1st Grade,Less than 30 min
177,4,2,2,15,66.8,53.2,4th Grade,Less than 30 min
178,2,3,3,45,59.9,71.8,2nd Grade,30-60 minutes
179,5,3,2,15,66.0,70.3,5th Grade,Less than 30 min
180,0,3,1,0,51.2,69.5,Kindergarten,No homework
181,2,1,3,45,56.5,35.2,2nd Grade,30-60 minutes
182,0,2,1,0,36.1,37.9,Kindergarten,No homework
183,5,1,3,45,42.4,65.4,5th Grade,30-60 minutes
184,5,2,2,15,58.8,67.8,5th Grade,Less than 30 min
185,1,1,1,0,41.4,25.7,1st Grade,No homework
186,3,1,2,15,50.9,40.4,3rd Grade,Less than 30 min
187,4,1,3,45,47.8,64.0,4th Grade,30-60 minutes
188,3,2,4,90,40.6,56.2,3rd Grade,1-2 hours
189,3,2,3,45,49.0,63.5,3rd Grade,30-60 minutes
190,1,1,3,45,38.6,30.5,1st Grade,30-60 minutes
191,0,2,1,0,61.8,53.5,Kindergarten,No homework
192,5,1,2,15,59.8,70.0,5th Grade,Less than 30 min
193,5,3,2,15,85.0,65.8,5th Grade,Less than 30 min
194,3,2,4,90,48.7,51.9,3rd Grade,1-2 hours
195,2,2,3,45,47.6,47.7,2nd Grade,30-60 minutes
196,2,3,1,0,43.8,,2nd Grade,No homework
197,4,2,1,0,74.5,64.1,4th Grade,No homework
198,5,2,4,90,55.7,60.1,5th Grade,1-2 hours
199,5,2,4,90,79.7,44.7,5th Grade,1-2 hours
200,4,3,4,90,65.6,80.0,4th Grade,1-2 hours
201,3,1,2,15,66.4,40.7,3rd Grade,Less than 30 min
202,0,3,1,0,69.0,67.0,Kindergarten,No homework
203,1,3,3,45,29.0,69.8,1st Grade,30-60 minutes
204,5,2,3,45,70.9,60.7,5th Grade,30-60 minutes
205,3,2,3,45,42.3,63.8,3rd Grade,30-60 minutes
206,0,2,1,0,46.9,51.3,Kindergarten,No homework
207,0,1,1,0,23.2,43.7,Kindergarten,No homework
208,3,1,5,150,65.8,33.0,3rd Grade,More than 2 hours
209,0,3,3,45,60.4,52.7,Kindergarten,30-60 minutes
210,1,2,2,15,39.6,69.3,1st Grade,Less than 30 min
211,3,2,1,0,63.9,61.1,3rd Grade,No homework
212,4,3,4,90,72.6,72.6,4th Grade,1-2 hours
213,3,2,2,15,70.3,43.4,3rd Grade,Less than 30 min
214,1,1,1,0,38.6,57.6,1st Grade,No homework
215,4,2,3,45,68.5,65.7,4th Grade,30-60 minutes
216,1,2,2,15,49.2,54.7,1st Grade,Less than 30 min
217,1,1,1,0,42.8,48.9,1st Grade,No homework
218,4,3,3,45,42.7,80.3,4th Grade,30-60 minutes
219,3,1,1,0,45.4,42.1,3rd Grade,No homework
220,5,2,4,90,69.4,52.5,5th Grade,1-2 hours
221,3,1,4,90,59.6,64.3,3rd Grade,1-2 hours
222,3,2,3,45,54.2,73.7,3rd Grade,30-60 minutes
223,0,2,1,0,36.3,52.4,Kindergarten,No homework
224,2,2,2,15,58.5,60.3,2nd Grade,Less than 30 min
225,1,3,3,45,46.2,52.5,1st Grade,30-60 minutes
226,1,1,4,90,45.7,39.1,1st Grade,1-2 hours
227,5,3,2,15,70.2,74.5,5th Grade,Less than 30 min
228,2,2,2,15,,41.8,2nd Grade,Less than 30 min
229,5,3,3,45,63.5,74.1,5th Grade,30-60 minutes
230,3,2,2,15,46.1,37.5,3rd Grade,Less than 30 min
231,4,1,3,45,57.0,49.4,4th Grade,30-60 minutes
232,3,1,5,150,60.6,,3rd Grade,More than 2 hours
233,3,3,2,15,72.5,62.1,3rd Grade,Less than 30 min
234,2,3,2,15,60.2,59.9,2nd Grade,Less than 30 min
235,1,2,4,90,51.8,47.0,1st Grade,1-2 hours
236,4,2,3,45,57.3,57.2,4th Grade,30-60 minutes
237,1,2,3,45,18.7,60.5,1st Grade,30-60 minutes
238,0,3,1,0,56.7,57.6,Kindergarten,No homework
239,3,3,5,150,53.8,82.9,3rd Grade,More than 2 hours
240,1,3,1,0,41.4,57.5,1st Grade,No homework
241,5,3,5,150,64.5,67.2,5th Grade,More than 2 hours
242,5,3,2,15,75.7,80.3,5th Grade,Less than 30 min
243,5,1,3,45,57.8,58.2,5th Grade,30-60 minutes
244,2,3,2,15,67.3,37.0,2nd Grade,Less than 30 min
245,0,2,1,0,37.5,47.5,Kindergarten,No homework
246,5,3,3,45,85.0,67.4,5th Grade,30-60 minutes
247,2,2,4,90,56.8,67.5,2nd Grade,1-2 hours
248,5,1,3,45,70.3,77.6,5th Grade,30-60 minutes
249,5,2,4,90,54.5,55.8,5th Grade,1-2 hours
250,5,2,2,15,60.2,74.6,5th Grade,Less than 30 min
251,1,1,3,45,34.7,39.6,1st Grade,30-60 minutes
252,2,2,2,15,53.2,36.2,2nd Grade,Less than 30 min
253,5,2,5,150,81.5,56.8,5th Grade,More than 2 hours
254,1,2,2,15,22.6,34.0,1st Grade,Less than 30 min
255,1,2,1,0,53.2,48.0,1st Grade,No homework
256,3,1,2,15,15.9,71.5,3rd Grade,Less than 30 min
257,5,3,4,90,68.2,66.9,5th Grade,1-2 hours
258,4,3,3,45,68.9,77.1,4th Grade,30-60 minutes
259,3,1,4,90,43.1,43.1,3rd Grade,1-2 hours
260,0,3,1,0,63.5,34.6,Kindergarten,No homework
261,3,2,3,45,47.6,61.7,3rd Grade,30-60 minutes
262,5,1,5,150,57.1,61.2,5th Grade,More than 2 hours
263,0,2,1,0,33.8,32.2,Kindergarten,No homework
264,3,2,1,0,49.0,61.8,3rd Grade,No homework
265,5,2,4,90,76.0,69.2,5th Grade,1-2 hours
266,4,3,3,45,72.1,85.0,4th Grade,30-60 minutes
267,4,2,3,45,64.8,58.4,4th Grade,30-60 minutes
268,4,1,3,45,44.8,42.4,4th Grade,30-60 minutes
269,2,3,5,150,61.3,57.3,2nd Grade,More than 2 hours
270,1,1,3,45,29.2,23.6,1st Grade,30-60 minutes
271,4,2,3,45,67.4,85.0,4th Grade,30-60 minutes
272,4,1,2,15,64.2,51.8,4th Grade,Less than 30 min
273,5,2,3,45,66.7,70.8,5th Grade,30-60 minutes
274,5,2,4,90,65.0,75.9,5th Grade,1-2 hours
275,3,1,3,45,58.8,47.1,3rd Grade,30-60 minutes
276,3,2,4,90,52.5,66.1,3rd Grade,1-2 hours
277,4,1,3,45,,62.8,4th Grade,30-60 minutes
278,3,2,1,0,64.7,63.7,3rd Grade,No homework
279,4,2,3,45,57.1,65.1,4th Grade,30-60 minutes
280,4,1,2,15,67.1,55.5,4th Grade,Less than 30 min
281,5,3,4,90,,78.2,5th Grade,1-2 hours
282,2,1,3,45,53.0,46.6,2nd Grade,30-60 minutes
283,2,1,1,0,53.6,43.3,2nd Grade,No homework
284,0,2,2,15,48.6,17.1,Kindergarten,Less than 30 min
285,3,2,4,90,57.0,54.9,3rd Grade,1-2 hours
286,0,2,2,15,27.8,47.8,Kindergarten,Less than 30 min
287,2,1,2,15,62.5,53.5,2nd Grade,Less than 30 min
288,3,3,2,15,61.1,83.0,3rd Grade,Less than 30 min
289,1,2,3,45,38.7,59.3,1st Grade,30-60 minutes
290,3,1,3,45,71.2,66.7,3rd Grade,30-60 minutes
291,0,2,3,45,32.3,44.5,Kindergarten,30-60 minutes
292,0,3,2,15,63.3,53.2,Kindergarten,Less than 30 min
293,4,2,4,90,50.3,55.0,4th Grade,1-2 hours
294,2,1,5,150,33.2,57.1,2nd Grade,More than 2 hours
295,0,2,2,15,46.2,41.2,Kindergarten,Less than 30 min
296,3,1,1,0,58.0,51.4,3rd Grade,No homework
297,4,2,2,15,67.0,73.2,4th Grade,Less than 30 min
298,1,3,1,0,60.5,44.5,1st Grade,No homework
299,3,2,2,15,45.8,,3rd Grade,Less than 30 min
300,0,2,1,0,29.0,45.0,Kindergarten,No homework
301,0,3,1,0,40.1,41.4,Kindergarten,No homework
302,3,2,1,0,60.6,68.1,3rd Grade,No homework
303,3,2,3,45,44.5,56.7,3rd Grade,30-60 minutes
304,3,2,4,90,15.0,51.9,3rd Grade,1-2 hours
305,4,2,4,90,43.1,58.5,4th Grade,1-2 hours
306,5,2,5,150,58.7,,5th Grade,More than 2 hours
307,3,2,2,15,61.5,53.1,3rd Grade,Less than 30 min
308,1,3,2,15,43.4,58.6,1st Grade,Less than 30 min
309,4,3,3,45,85.0,70.3,4th Grade,30-60 minutes
310,1,2,2,15,23.6,54.1,1st Grade,Less than 30 min
311,2,2,3,45,54.0,39.8,2nd Grade,30-60 minutes
312,0,2,1,0,37.5,36.2,Kindergarten,No homework
313,0,1,1,0,31.4,34.0,Kindergarten,No homework
314,5,2,4,90,51.0,56.8,5th Grade,1-2 hours
315,5,3,4,90,57.2,85.0,5th Grade,1-2 hours
316,4,2,3,45,74.7,63.0,4th Grade,30-60 minutes
317,2,3,2,15,48.7,68.5,2nd Grade,Less than 30 min
318,1,1,2,15,27.1,37.8,1st Grade,Less than 30 min
319,0,2,1,0,52.6,43.5,Kindergarten,No homework
320,1,2,4,90,50.1,40.1,1st Grade,1-2 hours
321,3,2,4,90,59.4,53.6,3rd Grade,1-2 hours
322,4,3,1,0,71.1,68.8,4th Grade,No homework
323,3,3,2,15,72.3,68.5,3rd Grade,Less than 30 min
324,1,1,2,15,45.0,46.7,1st Grade,Less than 30 min
325,5,1,3,45,53.5,64.1,5th Grade,30-60 minutes
326,4,1,4,90,85.0,69.8,4th Grade,1-2 hours
327,3,2,4,90,51.8,53.0,3rd Grade,1-2 hours
328,3,2,2,15,53.0,56.5,3rd Grade,Less than 30 min
329,2,2,1,0,44.4,49.6,2nd Grade,No homework
330,1,2,3,45,29.5,43.4,1st Grade,30-60 minutes
331,2,2,2,15,44.8,51.3,2nd Grade,Less than 30 min
332,4,3,3,45,85.0,71.1,4th Grade,30-60 minutes
333,0,2,1,0,36.8,30.7,Kindergarten,No homework
334,0,2,1,0,45.3,42.0,Kindergarten,No homework
335,0,1,2,15,37.4,37.5,Kindergarten,Less than 30 min
336,0,2,1,0,41.1,51.9,Kindergarten,No homework
337,5,2,3,45,58.3,63.9,5th Grade,30-60 minutes
338,4,2,2,15,64.1,71.3,4th Grade,Less than 30 min
339,2,3,3,45,59.9,62.9,2nd Grade,30-60 minutes
340,0,3,2,15,21.1,50.0,Kindergarten,Less than 30 min
341,2,3,2,15,69.3,63.6,2nd Grade,Less than 30 min
342,2,2,3,45,35.6,47.3,2nd Grade,30-60 minutes
343,1,2,1,0,48.0,46.1,1st Grade,No homework
344,2,2,2,15,39.8,45.6,2nd Grade,Less than 30 min
345,2,1,3,45,40.2,68.0,2nd Grade,30-60 minutes
346,3,2,3,45,48.0,64.7,3rd Grade,30-60 minutes
347,3,1,2,15,48.0,51.0,3rd Grade,Less than 30 min
348,0,2,1,0,34.9,52.0,Kindergarten,No homework
349,2,2,1,0,67.2,43.3,2nd Grade,No homework
350,3,3,4,90,59.1,63.7,3rd Grade,1-2 hours
351,3,2,1,0,60.6,,3rd Grade,No homework
352,5,3,2,15,69.9,60.4,5th Grade,Less than 30 min
353,3,1,2,15,57.2,42.9,3rd Grade,Less than 30 min
354,1,1,2,15,15.9,15.0,1st Grade,Less than 30 min
355,0,2,2,15,32.2,33.6,Kindergarten,Less than 30 min
356,3,2,2,15,45.9,62.5,3rd Grade,Less than 30 min
357,0,1,1,0,22.0,17.1,Kindergarten,No homework
358,3,1,1,0,55.4,59.7,3rd Grade,No homework
359,5,2,3,45,72.8,76.3,5th Grade,30-60 minutes
360,3,2,2,15,52.2,56.7,3rd Grade,Less than 30 min
361,2,2,2,15,49.3,61.6,2nd Grade,Less than 30 min
362,3,2,2,15,85.0,63.1,3rd Grade,Less than 30 min
363,2,1,3,45,45.1,48.2,2nd Grade,30-60 minutes
364,3,3,3,45,40.9,65.9,3rd Grade,30-60 minutes
365,5,2,3,45,80.6,72.8,5th Grade,30-60 minutes
366,2,2,1,0,60.9,46.9,2nd Grade,No homework
367,5,3,3,45,81.6,84.5,5th Grade,30-60 minutes
368,5,3,3,45,84.6,78.6,5th Grade,30-60 minutes
369,1,2,3,45,35.3,45.4,1st Grade,30-60 minutes
370,0,2,4,90,44.1,51.4,Kindergarten,1-2 hours
371,0,2,2,15,47.6,38.4,Kindergarten,Less than 30 min
372,0,2,1,0,46.9,68.6,Kindergarten,No homework
373,0,2,2,15,53.0,38.9,Kindergarten,Less than 30 min
374,4,2,3,45,,81.4,4th Grade,30-60 minutes
375,0,3,2,15,67.0,74.5,Kindergarten,Less than 30 min
376,1,1,1,0,42.6,38.5,1st Grade,No homework
377,5,3,3,45,71.8,59.9,5th Grade,30-60 minutes
378,0,3,1,0,65.9,62.5,Kindergarten,No homework
379,4,2,3,45,73.3,57.3,4th Grade,30-60 minutes
380,1,2,2,15,38.9,43.8,1st Grade,Less than 30 min
381,0,2,2,15,39.3,51.3,Kindergarten,Less than 30 min
382,4,3,4,90,80.2,57.5,4th Grade,1-2 hours
383,3,1,5,150,73.7,69.6,3rd Grade,More than 2 hours
384,5,2,2,15,63.2,72.5,5th Grade,Less than 30 min
385,4,2,3,45,59.7,42.8,4th Grade,30-60 minutes
386,4,3,3,45,83.4,69.8,4th Grade,30-60 minutes
387,1,3,3,45,44.9,42.3,1st Grade,30-60 minutes
388,1,2,1,0,34.3,43.0,1st Grade,No homework
389,4,1,1,0,65.4,39.2,4th Grade,No homework
390,4,2,3,45,,56.0,4th Grade,30-60 minutes
391,5,1,5,150,85.0,67.2,5th Grade,More than 2 hours
392,2,3,4,90,64.7,61.0,2nd Grade,1-2 hours
393,2,2,2,15,58.8,59.1,2nd Grade,Less than 30 min
394,4,3,4,90,60.5,82.8,4th Grade,1-2 hours
395,2,2,1,0,67.5,46.5,2nd Grade,No homework
396,5,2,3,45,62.6,58.5,5th Grade,30-60 minutes
397,5,1,4,90,55.4,58.0,5th Grade,1-2 hours
398,2,2,2,15,40.8,43.8,2nd Grade,Less than 30 min
399,4,1,2,15,36.8,66.7,4th Grade,Less than 30 min
400,4,2,4,90,58.3,65.4,4th Grade,1-2 hours
401,0,1,2,15,37.7,50.4,Kindergarten,Less than 30 min
402,5,2,5,150,54.9,63.4,5th Grade,More than 2 hours
403,3,2,1,0,63.0,57.1,3rd Grade,No homework
404,4,2,3,45,55.6,68.9,4th Grade,30-60 minutes
405,1,1,2,15,36.8,15.0,1st Grade,Less than 30 min
406,5,2,4,90,44.3,55.5,5th Grade,1-2 hours
407,2,2,2,15,60.1,45.1,2nd Grade,Less than 30 min
408,0,2,1,0,18.0,51.6,Kindergarten,No homework
409,5,1,2,15,,71.4,5th Grade,Less than 30 min
410,0,3,2,15,30.6,64.2,Kindergarten,Less than 30 min
411,1,3,1,0,33.5,61.9,1st Grade,No homework
412,5,1,2,15,54.8,78.6,5th Grade,Less than 30 min
413,5,2,3,45,60.7,82.6,5th Grade,30-60 minutes
414,3,2,2,15,61.7,41.2,3rd Grade,Less than 30 min
415,3,2,2,15,,76.0,3rd Grade,Less than 30 min
416,2,1,1,0,41.0,50.9,2nd Grade,No homework
417,1,1,3,45,30.4,36.8,1st Grade,30-60 minutes
418,1,1,1,0,28.2,31.4,1st Grade,No homework
419,4,2,1,0,49.9,48.9,4th Grade,No homework
420,4,3,2,15,84.2,70.0,4th Grade,Less than 30 min
421,4,2,5,150,83.3,67.0,4th Grade,More than 2 hours
422,4,3,1,0,53.9,81.5,4th Grade,No homework
423,0,1,2,15,32.6,55.1,Kindergarten,Less than 30 min
424,2,1,4,90,34.6,50.1,2nd Grade,1-2 hours
425,0,2,1,0,32.0,35.7,Kindergarten,No homework
426,3,2,2,15,64.8,67.5,3rd Grade,Less than 30 min
427,2,2,3,45,51.2,65.0,2nd Grade,30-60 minutes
428,5,2,4,90,,73.7,5th Grade,1-2 hours
429,2,1,3,45,40.3,35.2,2nd Grade,30-60 minutes
430,0,2,2,15,32.2,38.4,Kindergarten,Less than 30 min
431,0,2,1,0,52.0,47.1,Kindergarten,No homework
432,4,2,3,45,73.8,75.4,4th Grade,30-60 minutes
433,3,3,1,0,69.8,55.5,3rd Grade,No homework
434,0,1,1,0,15.0,44.1,Kindergarten,No homework
435,0,3,2,15,48.8,35.7,Kindergarten,Less than 30 min
436,4,2,2,15,,79.5,4th Grade,Less than 30 min
437,0,3,1,0,64.3,55.7,Kindergarten,No homework
438,4,1,2,15,48.5,60.1,4th Grade,Less than 30 min
439,4,2,3,45,69.1,75.4,4th Grade,30-60 minutes
440,0,2,3,45,38.5,41.6,Kindergarten,30-60 minutes
441,0,3,1,0,61.9,,Kindergarten,No homework
442,5,2,4,90,78.8,79.6,5th Grade,1-2 hours
443,2,2,1,0,32.1,45.8,2nd Grade,No homework
444,2,3,1,0,57.0,79.5,2nd Grade,No homework
445,4,2,2,15,63.3,63.8,4th Grade,Less than 30 min
