artist,title,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
Thomas Rhett;Danielle Bradbery,Playing With Fire,0.477,0.697,0.0301,0.031,0.0,0.111,0.486,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Oklahoma Smokeshow,0.544,0.573,0.0356,0.0958,0.0,0.104,0.233,country
Zach Bryan,Oklahoma Smokeshow,0.544,0.573,0.0356,0.0958,0.0,0.104,0.233,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Florida Georgia Line,I Love My Country,0.525,0.94,0.065,0.0283,0.0,0.236,0.636,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Oklahoma Smokeshow,0.544,0.573,0.0356,0.0958,0.0,0.104,0.233,country
Luke Bryan,Run Run Rudolph,0.606,0.972,0.0459,0.0217,0.000161,0.338,0.856,country
Creedence Clearwater Revival,Have You Ever Seen The Rain,0.741,0.697,0.0277,0.0665,2.35e-05,0.133,0.774,country
Zach Bryan,"Burn, Burn, Burn",0.508,0.296,0.0755,0.897,5e-05,0.11,0.134,country
Zach Bryan,Oklahoma Smokeshow,0.544,0.573,0.0356,0.0958,0.0,0.104,0.233,country
Creedence Clearwater Revival,Have You Ever Seen The Rain,0.779,0.662,0.0284,0.141,1.16e-05,0.119,0.811,country
Luke Bryan,Rain Is A Good Thing,0.622,0.931,0.0507,0.106,2.45e-06,0.328,0.521,country
Luke Bryan,Run Run Rudolph,0.611,0.972,0.0464,0.0253,0.000111,0.28,0.871,country
Zach Bryan,If She Wants a Cowboy,0.553,0.823,0.0689,0.0201,0.0,0.111,0.552,country
Florida Georgia Line,Sun Daze,0.484,0.944,0.0413,0.0901,0.0,0.471,0.839,country
Creedence Clearwater Revival,Hello Mary Lou,0.633,0.674,0.0348,0.0572,0.00154,0.0504,0.965,country
Zach Bryan,Heavy Eyes,0.471,0.912,0.0724,0.032,0.0,0.343,0.613,country
Creedence Clearwater Revival,I Put A Spell On You,0.393,0.732,0.0295,0.00471,0.123,0.0979,0.621,country
Creedence Clearwater Revival,I Put A Spell On You,0.393,0.732,0.0295,0.00471,0.123,0.0979,0.621,country
Creedence Clearwater Revival,Bad Moon Rising,0.508,0.769,0.0326,0.0577,6.1e-06,0.063,0.939,country
Creedence Clearwater Revival,I Put A Spell On You,0.437,0.742,0.0291,0.00651,0.037,0.112,0.688,country
Creedence Clearwater Revival,Fortunate Son,0.64,0.663,0.0373,0.201,0.00806,0.152,0.665,country
Creedence Clearwater Revival,Bad Moon Rising,0.508,0.769,0.0326,0.0577,6.1e-06,0.063,0.939,country
Creedence Clearwater Revival,Bad Moon Rising - Remastered 1985,0.621,0.85,0.0311,0.0221,1.52e-06,0.0581,0.923,country
Zach Bryan,Heading South,0.617,0.378,0.0662,0.808,2.33e-05,0.179,0.345,country
Creedence Clearwater Revival,Bad Moon Rising - Remastered 1985,0.621,0.85,0.0311,0.0221,1.52e-06,0.0581,0.923,country
Dan + Shay;Justin Bieber,"10,000 Hours (with Justin Bieber)",0.654,0.63,0.0259,0.149,0.0,0.111,0.43,country
Dan + Shay;Justin Bieber,"10,000 Hours",0.654,0.63,0.0259,0.149,0.0,0.111,0.43,country
Thomas Rhett,Country Again,0.467,0.481,0.0255,0.227,0.000189,0.11,0.248,country
Dan + Shay,You,0.544,0.572,0.0319,0.118,0.0,0.234,0.52,country
Dan + Shay;Justin Bieber,"10,000 Hours",0.654,0.63,0.0259,0.149,0.0,0.111,0.43,country
Dan + Shay,Glad You Exist,0.741,0.499,0.0356,0.23,0.0,0.125,0.692,country
Dan + Shay,You,0.544,0.572,0.0319,0.118,0.0,0.234,0.52,country
Dan + Shay,Glad You Exist,0.741,0.499,0.0356,0.23,0.0,0.125,0.692,country
Dan + Shay,Alone Together,0.541,0.871,0.122,0.00527,0.0,0.0867,0.666,country
Dan + Shay,You,0.544,0.572,0.0319,0.118,0.0,0.234,0.52,country
Dan + Shay,Glad You Exist,0.741,0.499,0.0356,0.23,0.0,0.125,0.692,country
Dan + Shay,You,0.544,0.572,0.0319,0.118,0.0,0.234,0.52,country
Dan + Shay;Justin Bieber,"10,000 Hours",0.654,0.63,0.0259,0.149,0.0,0.111,0.43,country
Dan + Shay;Justin Bieber,"10,000 Hours",0.654,0.63,0.0259,0.149,0.0,0.111,0.43,country
Dan + Shay,Nothin' Like You,0.586,0.704,0.0307,0.15,0.0,0.067,0.442,country
Dan + Shay,You,0.544,0.572,0.0319,0.118,0.0,0.234,0.52,country
Jordan Davis;Luke Bryan,Buy Dirt,0.586,0.559,0.05,0.639,0.0,0.0872,0.437,country
Dan + Shay,You,0.544,0.572,0.0319,0.118,0.0,0.234,0.52,country
Dan + Shay,Officially Christmas,0.655,0.677,0.0326,0.146,0.0,0.131,0.62,country
Dan + Shay;Mushroom People,Tequila - Mushroom People Remix,0.545,0.713,0.0543,0.0187,0.0,0.0775,0.476,country
Shania Twain,You're Still The One,0.558,0.54,0.0305,0.501,0.0,0.252,0.654,country
Jon Pardi,Heartache On The Dance Floor,0.596,0.833,0.0474,0.0563,0.0,0.0866,0.618,country
Shania Twain,Man! I Feel Like A Woman!,0.654,0.889,0.0513,0.64,0.0,0.297,0.73,country
Shania Twain,You're Still The One,0.558,0.54,0.0305,0.501,0.0,0.252,0.654,country
Shania Twain,You're Still The One,0.558,0.54,0.0305,0.501,0.0,0.252,0.654,country
Cody Johnson,Human,0.4,0.647,0.0337,0.176,5.79e-05,0.11,0.274,country
Cody Johnson,Human,0.4,0.647,0.0337,0.176,5.79e-05,0.11,0.274,country
Cody Johnson,'Til You Can't,0.501,0.815,0.0436,0.0513,0.0,0.106,0.46,country
Shania Twain,I'm Gonna Getcha Good - Green Version,0.724,0.789,0.0302,0.0441,0.0,0.0612,0.945,country
Cody Johnson,Fenceposts,0.455,0.628,0.0272,0.31,1.85e-06,0.223,0.402,country
Cody Johnson,Hat Made of Mistletoe,0.598,0.943,0.0347,0.0933,0.0,0.331,0.801,country
Cody Johnson,Hat Made of Mistletoe,0.598,0.943,0.0347,0.0933,0.0,0.331,0.801,country
Jon Pardi,Dirt On My Boots,0.683,0.796,0.0284,0.112,0.0,0.197,0.533,country
Cody Johnson,'Til You Can't,0.501,0.815,0.0436,0.0513,0.0,0.106,0.46,country
Jordan Davis,Singles You Up,0.634,0.903,0.0323,0.0465,0.0,0.255,0.559,country
Jon Pardi,Fill 'Er Up,0.652,0.746,0.0286,0.0142,0.0,0.272,0.876,country
Cody Johnson,Human,0.4,0.647,0.0337,0.176,5.79e-05,0.11,0.274,country
Jon Pardi,Dirt On My Boots,0.683,0.796,0.0284,0.112,0.0,0.197,0.533,country
Shania Twain,Man! I Feel Like A Woman!,0.654,0.889,0.0513,0.64,0.0,0.297,0.73,country
Cody Johnson,Driveway,0.486,0.565,0.0336,0.27,0.0,0.109,0.269,country
Cody Johnson,Stronger,0.453,0.7,0.038,0.131,0.0,0.186,0.447,country
Cody Johnson,Fenceposts,0.455,0.628,0.0272,0.31,1.85e-06,0.223,0.402,country
Cody Johnson,'Til You Can't,0.501,0.815,0.0436,0.0513,0.0,0.106,0.46,country
Cody Johnson;Clara Johnson;Brandi Johnson;Cori Johnson,Silent Night,0.442,0.131,0.028,0.687,0.0,0.127,0.277,country
Cody Johnson,'Til You Can't,0.501,0.815,0.0436,0.0513,0.0,0.106,0.46,country
Cody Johnson,Fenceposts,0.455,0.628,0.0272,0.31,1.85e-06,0.223,0.402,country
Cody Johnson,Let's Build a Fire,0.417,0.968,0.0452,0.00144,2.56e-05,0.0827,0.879,country
Cody Johnson,'Til You Can't,0.501,0.815,0.0436,0.0513,0.0,0.106,0.46,country
Cody Johnson,On My Way to You,0.445,0.537,0.0311,0.331,5e-05,0.0866,0.246,country
Cody Johnson,'Til You Can't,0.501,0.815,0.0436,0.0513,0.0,0.106,0.46,country
Eagles,Hotel California - 2013 Remaster,0.579,0.508,0.027,0.00574,0.000494,0.0575,0.609,country
Dan + Shay;Justin Bieber,"10,000 Hours",0.654,0.63,0.0259,0.149,0.0,0.111,0.43,country
Dan + Shay,How Not To,0.501,0.836,0.0488,0.208,0.0,0.152,0.617,country
Dan + Shay,You,0.544,0.572,0.0319,0.118,0.0,0.234,0.52,country
Dan + Shay;Justin Bieber,"10,000 Hours",0.654,0.63,0.0259,0.149,0.0,0.111,0.43,country
Dan + Shay,Speechless,0.616,0.437,0.0298,0.351,0.0,0.24,0.386,country
Dan + Shay;Justin Bieber,"10,000 Hours",0.654,0.63,0.0259,0.149,0.0,0.111,0.43,country
Dan + Shay,You,0.544,0.572,0.0319,0.118,0.0,0.234,0.52,country
Dan + Shay,Take Me Home for Christmas,0.694,0.769,0.0325,0.163,0.0,0.0976,0.663,country
Dan + Shay,Officially Christmas,0.655,0.677,0.0326,0.146,0.0,0.131,0.62,country
Bailey Zimmerman,Rock and a Hard Place,0.582,0.568,0.0275,0.577,0.0,0.105,0.394,country
Bailey Zimmerman,Rock and a Hard Place,0.582,0.568,0.0275,0.577,0.0,0.105,0.394,country
Bailey Zimmerman,Rock and a Hard Place,0.582,0.568,0.0275,0.577,0.0,0.105,0.394,country
Bailey Zimmerman,Where It Ends,0.431,0.837,0.0432,0.259,0.0,0.0879,0.648,country
Bailey Zimmerman,Rock and a Hard Place,0.582,0.568,0.0275,0.577,0.0,0.105,0.394,country
Bailey Zimmerman,Rock and a Hard Place,0.582,0.568,0.0275,0.577,0.0,0.105,0.394,country
Carrie Underwood,Favorite Time Of Year,0.509,0.881,0.0497,0.00489,0.0,0.359,0.509,country
Bailey Zimmerman,Where It Ends,0.431,0.837,0.0432,0.259,0.0,0.0879,0.648,country
Bailey Zimmerman,Where It Ends,0.431,0.837,0.0432,0.259,0.0,0.0879,0.648,country
Bailey Zimmerman,Rock and a Hard Place,0.582,0.568,0.0275,0.577,0.0,0.105,0.394,country
Bailey Zimmerman,Fall in Love,0.524,0.643,0.0297,0.451,0.0,0.221,0.397,country
Bailey Zimmerman,Never Leave,0.503,0.643,0.0304,0.523,1.23e-06,0.0661,0.345,country
Bailey Zimmerman,Fall in Love,0.524,0.643,0.0297,0.451,0.0,0.221,0.397,country
Bailey Zimmerman,Where It Ends,0.431,0.837,0.0432,0.259,0.0,0.0879,0.648,country
Alan Jackson,Let It Be Christmas,0.626,0.4,0.0251,0.798,0.0,0.151,0.401,country
Bailey Zimmerman,Where It Ends,0.431,0.837,0.0432,0.259,0.0,0.0879,0.648,country
Bailey Zimmerman,Rock and a Hard Place,0.582,0.568,0.0275,0.577,0.0,0.105,0.394,country
Bailey Zimmerman,Fall in Love,0.524,0.643,0.0297,0.451,0.0,0.221,0.397,country
Bailey Zimmerman,Fall in Love,0.524,0.643,0.0297,0.451,0.0,0.221,0.397,country
Bailey Zimmerman,Rock and a Hard Place,0.582,0.568,0.0275,0.577,0.0,0.105,0.394,country
Bailey Zimmerman,Fall in Love,0.524,0.643,0.0297,0.451,0.0,0.221,0.397,country
Bailey Zimmerman,Rock and a Hard Place,0.582,0.568,0.0275,0.577,0.0,0.105,0.394,country
Carrie Underwood,O Come All Ye Faithful,0.248,0.308,0.03,0.797,0.0,0.118,0.348,country
Bailey Zimmerman,Where It Ends,0.431,0.837,0.0432,0.259,0.0,0.0879,0.648,country
Carrie Underwood;Isaiah Fisher,Little Drummer Boy,0.642,0.354,0.0281,0.672,0.0,0.0885,0.428,country
Carrie Underwood,Favorite Time Of Year - Amazon Original,0.497,0.897,0.0513,0.00635,0.0,0.305,0.539,country
Bailey Zimmerman,Fall in Love,0.524,0.643,0.0297,0.451,0.0,0.221,0.397,country
Bailey Zimmerman,Fall in Love,0.524,0.643,0.0297,0.451,0.0,0.221,0.397,country
Carrie Underwood,Southbound,0.614,0.884,0.0402,0.00122,0.0,0.077,0.721,country
Carrie Underwood,Favorite Time Of Year - Amazon Original,0.497,0.897,0.0513,0.00635,0.0,0.305,0.539,country
Bailey Zimmerman,Small Town Crazy,0.502,0.877,0.0746,0.0129,0.0,0.244,0.696,country
Bailey Zimmerman,Never Comin' Home - Live Acoustic,0.585,0.51,0.0322,0.427,0.0,0.0997,0.436,country
George Strait,Jingle Bell Rock,0.775,0.562,0.0299,0.468,0.0,0.174,0.77,country
George Strait,Deck The Halls,0.607,0.522,0.0279,0.235,0.0,0.129,0.887,country
George Strait,Heartland - Pure Country/Soundtrack Version,0.449,0.89,0.05,0.0521,7.82e-05,0.112,0.696,country
George Strait,O Christmas Tree,0.499,0.295,0.0287,0.794,0.0,0.0829,0.323,country
George Strait,O Christmas Tree,0.499,0.295,0.0287,0.794,0.0,0.0829,0.323,country
George Strait,Christmas Cookies,0.743,0.621,0.0651,0.465,0.0,0.108,0.865,country
George Strait,O Christmas Tree,0.499,0.295,0.0287,0.794,0.0,0.0829,0.323,country
George Strait,Christmas Cookies,0.743,0.621,0.0651,0.465,0.0,0.108,0.865,country
Haley Mae Campbell,Never Been in Love,0.679,0.742,0.0292,0.121,7.21e-05,0.322,0.869,country
Blake Shelton,No Body,0.739,0.72,0.026,0.0379,0.00267,0.23,0.892,country
Blake Shelton,God's Country,0.537,0.754,0.0399,0.0586,4.8e-06,0.118,0.212,country
Tim McGraw,7500 OBO,0.528,0.718,0.0337,0.1,0.0,0.304,0.51,country
Blake Shelton,Jingle Bell Rock,0.65,0.736,0.0378,0.122,0.0,0.0998,0.595,country
Carrie Underwood;John Legend,Hallelujah,0.335,0.43,0.0322,0.846,0.0,0.126,0.379,country
Tim McGraw,Doggone,0.629,0.538,0.029,0.416,1.07e-05,0.107,0.353,country
Blake Shelton,Home,0.579,0.443,0.0255,0.479,3.15e-06,0.11,0.288,country
Tim McGraw,Christmas All Over The World,0.565,0.782,0.0305,0.0341,0.0,0.0782,0.798,country
Carrie Underwood;John Legend,Hallelujah,0.335,0.43,0.0322,0.846,0.0,0.126,0.379,country
Blake Shelton,No Body,0.739,0.72,0.026,0.0379,0.00267,0.23,0.892,country
Blake Shelton;Gwen Stefani,Happy Anywhere,0.606,0.737,0.0321,0.134,0.0,0.057,0.65,country
Blake Shelton;Michael Bublé,Home,0.576,0.456,0.0267,0.584,2.68e-05,0.0912,0.21,country
Blake Shelton;Michael Bublé,Home,0.576,0.456,0.0267,0.584,2.68e-05,0.0912,0.21,country
Blake Shelton,Come Back as a Country Boy,0.494,0.796,0.0324,0.0197,0.000178,0.309,0.447,country
Blake Shelton,Austin,0.603,0.609,0.0278,0.188,0.0,0.0982,0.275,country
Carrie Underwood;John Legend,Hallelujah,0.335,0.43,0.0322,0.846,0.0,0.126,0.379,country
Blake Shelton;Gwen Stefani,Happy Anywhere,0.606,0.737,0.0321,0.134,0.0,0.057,0.65,country
Tim McGraw,Christmas All Over The World,0.565,0.782,0.0305,0.0341,0.0,0.0782,0.798,country
Blake Shelton;Michael Bublé,Home,0.576,0.456,0.0267,0.584,2.68e-05,0.0912,0.21,country
Kenny Chesney,Knowing You,0.568,0.562,0.0258,0.23,3.41e-06,0.119,0.178,country
Blake Shelton;Gwen Stefani,Nobody but You,0.465,0.653,0.0273,0.111,0.000125,0.172,0.233,country
Carrie Underwood,O Come All Ye Faithful,0.248,0.308,0.03,0.797,0.0,0.118,0.348,country
Tim McGraw;Catherine Dunn,Diamond Rings And Old Barstools,0.55,0.496,0.025,0.463,0.000135,0.119,0.353,country
Blake Shelton;Gwen Stefani,Happy Anywhere,0.606,0.737,0.0321,0.134,0.0,0.057,0.65,country
Carrie Underwood,Favorite Time Of Year - Amazon Original,0.497,0.897,0.0513,0.00635,0.0,0.305,0.539,country
Tim McGraw,Christmas All Over The World,0.565,0.782,0.0305,0.0341,0.0,0.0782,0.798,country
Tim McGraw,Christmas All Over The World,0.565,0.782,0.0305,0.0341,0.0,0.0782,0.798,country
Kenny Chesney,Happy Does,0.716,0.665,0.0382,0.304,0.0,0.123,0.598,country
Kenny Chesney,Happy Does,0.716,0.665,0.0382,0.304,0.0,0.123,0.598,country
Carrie Underwood,O Come All Ye Faithful,0.248,0.308,0.03,0.797,0.0,0.118,0.348,country
Blake Shelton,Jingle Bell Rock,0.65,0.736,0.0378,0.122,0.0,0.0998,0.595,country
Carrie Underwood;John Legend,Hallelujah,0.335,0.43,0.0322,0.846,0.0,0.126,0.379,country
Blake Shelton,Jingle Bell Rock,0.65,0.736,0.0378,0.122,0.0,0.0998,0.595,country
Kenny Chesney,Everyone She Knows,0.659,0.682,0.0293,0.00992,0.0,0.159,0.664,country
Blake Shelton,Jingle Bell Rock,0.65,0.736,0.0378,0.122,0.0,0.0998,0.595,country
Kenny Chesney,Everyone She Knows,0.659,0.682,0.0293,0.00992,0.0,0.159,0.664,country
Kenny Chesney,Knowing You,0.568,0.562,0.0258,0.23,3.41e-06,0.119,0.178,country
Kenny Chesney;Mindy Smith,Better Boat,0.573,0.265,0.0302,0.827,2.31e-05,0.133,0.396,country
Kenny Chesney,Wind On,0.497,0.866,0.0464,0.00099,1.28e-05,0.35,0.338,country
Tim McGraw,Christmas All Over The World,0.565,0.782,0.0305,0.0341,0.0,0.0782,0.798,country
Blake Shelton,She Doesn't Know She's Got It,0.654,0.873,0.0298,0.069,2.99e-05,0.141,0.879,country
Kenny Chesney,Everyone She Knows,0.659,0.682,0.0293,0.00992,0.0,0.159,0.664,country
Kenny Chesney,Knowing You,0.568,0.562,0.0258,0.23,3.41e-06,0.119,0.178,country
Kenny Chesney,The Life,0.797,0.53,0.025,0.575,0.000203,0.107,0.721,country
Kenny Chesney,Knowing You,0.568,0.562,0.0258,0.23,3.41e-06,0.119,0.178,country
Kenny Chesney,Everyone She Knows,0.659,0.682,0.0293,0.00992,0.0,0.159,0.664,country
Eric Church,Drink In My Hand,0.626,0.913,0.0317,0.00635,0.0,0.293,0.946,country
Kenny Chesney,Everyone She Knows,0.659,0.682,0.0293,0.00992,0.0,0.159,0.664,country
Eric Church,Pledge Allegiance To The Hag,0.588,0.644,0.0515,0.0444,0.0,0.0906,0.27,country
Creedence Clearwater Revival,Have You Ever Seen The Rain,0.741,0.697,0.0277,0.0664,2.28e-05,0.133,0.774,country
Sam Hunt,Nothing Lasts Forever,0.467,0.444,0.0602,0.365,0.0,0.158,0.187,country
Blake Shelton,No Body,0.739,0.72,0.026,0.0379,0.00267,0.23,0.892,country
Cole Swindell,Stereotype,0.634,0.87,0.0326,0.00776,7.06e-05,0.0845,0.786,country
Cole Swindell,Stay Downtown,0.336,0.756,0.045,0.00275,0.0,0.189,0.237,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Dolly Parton,"I Still Believe - Live on ""A Holly Dolly Christmas"" TV Special",0.544,0.534,0.0328,0.269,0.0,0.111,0.362,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Cole Swindell,Stereotype,0.634,0.87,0.0326,0.00776,7.06e-05,0.0845,0.786,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Blake Shelton,No Body,0.739,0.72,0.026,0.0379,0.00267,0.23,0.892,country
Cole Swindell;Lainey Wilson,Never Say Never,0.469,0.931,0.0563,0.00752,0.0,0.111,0.49,country
Blake Shelton,No Body,0.739,0.72,0.026,0.0379,0.00267,0.23,0.892,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Cole Swindell,Kiss,0.461,0.887,0.193,0.0358,0.0,0.118,0.638,country
Sam Hunt,Body Like A Back Road,0.732,0.458,0.0311,0.447,0.0,0.136,0.661,country
Dierks Bentley;Maren Morris,I'll Be The Moon,0.561,0.549,0.0668,0.547,0.0,0.105,0.42,country
Dolly Parton,"Mary, Did You Know?",0.355,0.382,0.0378,0.784,0.0,0.123,0.261,country
Dierks Bentley,Freedom,0.547,0.832,0.029,0.00192,0.0,0.2,0.544,country
Cole Swindell,She Had Me at Heads Carolina,0.607,0.912,0.0611,0.124,0.0,0.332,0.722,country
Cole Swindell,She Had Me at Heads Carolina,0.607,0.912,0.0611,0.124,0.0,0.332,0.722,country
Cole Swindell;Lainey Wilson,Never Say Never,0.469,0.931,0.0563,0.00752,0.0,0.111,0.49,country
Dierks Bentley;BRELAND;HARDY,Beers On Me,0.59,0.846,0.0396,0.182,0.0,0.53,0.733,country
Keith Urban;P!nk,One Too Many,0.702,0.53,0.0558,0.211,0.0,0.396,0.561,country
Cole Swindell,She Had Me at Heads Carolina,0.607,0.912,0.0611,0.124,0.0,0.332,0.722,country
Blake Shelton,No Body,0.739,0.72,0.026,0.0379,0.00267,0.23,0.892,country
Cole Swindell,Stereotype,0.634,0.87,0.0326,0.00776,7.06e-05,0.0845,0.786,country
Dolly Parton;Michael Bublé,"Cuddle Up, Cozy Down Christmas",0.658,0.515,0.0368,0.678,0.0,0.154,0.652,country
Cole Swindell,Single Saturday Night,0.634,0.786,0.0411,0.129,0.0,0.182,0.653,country
Cole Swindell,She Had Me at Heads Carolina,0.607,0.912,0.0611,0.124,0.0,0.332,0.722,country
Kacey Musgraves,Christmas Makes Me Cry,0.477,0.206,0.0349,0.9,1.37e-05,0.229,0.2,country
Cole Swindell;Lainey Wilson,Never Say Never,0.469,0.931,0.0563,0.00752,0.0,0.111,0.49,country
Dolly Parton;Michael Bublé,"Cuddle Up, Cozy Down Christmas",0.658,0.515,0.0368,0.678,0.0,0.154,0.652,country
Cole Swindell,You Should Be Here,0.491,0.641,0.0282,0.0592,0.0,0.0857,0.299,country
Sam Hunt,Body Like A Back Road,0.732,0.458,0.0311,0.447,0.0,0.136,0.661,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Blake Shelton,No Body,0.739,0.72,0.026,0.0379,0.00267,0.23,0.892,country
Dolly Parton;Michael Bublé,"Cuddle Up, Cozy Down Christmas",0.658,0.515,0.0368,0.678,0.0,0.154,0.652,country
Dolly Parton;Jimmy Fallon,All I Want for Christmas Is You,0.42,0.755,0.0584,0.593,0.0,0.204,0.361,country
Dolly Parton;Jimmy Fallon,All I Want for Christmas Is You,0.42,0.755,0.0584,0.593,0.0,0.204,0.361,country
Cole Swindell,She Had Me at Heads Carolina,0.607,0.912,0.0611,0.124,0.0,0.332,0.722,country
Cole Swindell,She Had Me at Heads Carolina,0.607,0.912,0.0611,0.124,0.0,0.332,0.722,country
Dolly Parton;Michael Bublé,"Cuddle Up, Cozy Down Christmas",0.658,0.515,0.0368,0.678,0.0,0.154,0.652,country
Dolly Parton;Jimmy Fallon,All I Want for Christmas Is You,0.42,0.755,0.0584,0.593,0.0,0.204,0.361,country
Cole Swindell,Chillin' It,0.576,0.849,0.0386,0.511,4.01e-05,0.109,0.666,country
Cole Swindell,She Had Me at Heads Carolina,0.607,0.912,0.0611,0.124,0.0,0.332,0.722,country
Cole Swindell,She Had Me at Heads Carolina,0.607,0.912,0.0611,0.124,0.0,0.332,0.722,country
Willie Nelson;Norah Jones,Baby It's Cold Outside,0.532,0.358,0.0671,0.717,0.0,0.112,0.449,country
John Denver,"Take Me Home, Country Roads",0.462,0.395,0.0264,0.758,0.0,0.121,0.625,country
Kacey Musgraves,easier said,0.541,0.609,0.0478,0.51,0.000668,0.102,0.381,country
Kacey Musgraves,star-crossed,0.378,0.441,0.0355,0.709,0.00288,0.0887,0.158,country
Kacey Musgraves,star-crossed,0.378,0.441,0.0355,0.709,0.00288,0.0887,0.158,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Kacey Musgraves,star-crossed,0.378,0.441,0.0355,0.709,0.00288,0.0887,0.158,country
Kacey Musgraves,Feliz Navidad,0.724,0.566,0.0305,0.617,0.00023,0.234,0.873,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Kacey Musgraves;Lana Del Rey,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0.469,0.183,0.0407,0.829,0.0,0.71,0.381,country
Kacey Musgraves,Feliz Navidad,0.724,0.566,0.0305,0.617,0.00023,0.234,0.873,country
